date,high,low,cache,share_count,amount_in_shares,overall_result,comission,tax,total_tax
2021-02-02,5577.0,5407.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-03,5642.0,5491.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-04,5728.5,5529.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-05,5770.5,5644.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-08,5797.5,5698.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-09,5796.0,5654.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-10,5712.5,5560.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-11,5690.0,5546.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-12,5756.5,5501.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-15,5910.0,5772.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-16,5930.0,5805.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-17,5876.5,5682.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-18,5784.0,5588.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-19,5697.0,5561.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-20,5659.0,5602.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-22,5797.0,5592.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-24,5791.0,5676.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-25,5888.0,5731.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-02-26,5794.5,5545.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-01,5660.0,5590.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-02,5676.0,5592.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-03,5747.5,5631.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-04,5955.0,5690.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-05,6245.0,5852.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-09,6405.0,6167.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-10,6300.5,6084.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-11,6339.0,6109.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-12,6377.0,6267.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-15,6480.0,6360.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-16,6470.5,6314.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-17,6475.0,6294.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-18,6373.5,6059.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-19,6149.0,5960.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-22,6167.0,5980.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-23,6098.0,5951.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-24,6231.0,5976.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-25,6195.5,6056.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-26,6289.0,6194.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-29,6278.0,6174.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-30,6316.5,6125.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-03-31,6188.0,6097.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-01,6189.0,6015.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-02,6137.0,6076.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-05,6095.0,5951.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-06,6024.0,5871.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-07,6001.0,5842.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-08,6068.0,5945.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-09,6006.0,5867.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-12,6037.0,5886.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-13,6055.0,5946.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-14,6168.5,5975.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-15,6118.5,6017.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-16,6104.0,6025.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-19,6087.0,5986.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-20,6061.0,5840.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-21,5966.5,5876.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-22,6057.0,5886.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-23,6027.5,5931.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-26,5971.0,5892.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-27,5966.5,5870.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-28,5945.0,5844.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-29,5945.0,5875.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-04-30,5945.0,5760.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-04,5999.0,5815.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-05,6156.0,5985.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-06,6185.0,6061.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-07,6122.5,6042.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-10,6203.0,6093.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-11,6093.5,5948.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-12,6205.0,6003.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-13,6127.0,5999.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-14,6077.0,6002.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-17,6026.0,5868.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-18,6043.0,5962.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-19,5978.0,5767.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-20,5863.5,5681.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-21,5852.0,5697.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-24,5859.5,5774.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-25,5975.5,5823.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-26,6019.5,5918.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-27,6012.0,5915.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-28,6030.0,5936.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-05-31,6010.5,5951.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-01,6223.0,6017.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-02,6430.0,6215.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-03,6499.0,6327.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-04,6570.0,6442.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-07,6590.0,6460.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-08,6564.5,6400.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-09,6595.5,6487.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-10,6660.5,6548.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-11,6607.5,6488.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-14,6547.5,6447.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-15,6530.0,6431.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
